Postnumber;Date;Allgemein;Vorspeisen;Hauptspeisen;Frühstück;Beilagen;Süßes;Getränke;Frühling;Sommer;Herbst;Winter;on  Tour;Nachspeisen;Pasta  und  Risotto;Suppen;aus  der  Backstube;Kleinigkeiten;kleine  Geschenke;Wie  macht  man  eigentlich...?;Fit  &  Healthy  Friday; "Stiftung  Chaosküchen-Test ";Blogs  that  rock;aus  dem  Eisfach;Selfmade  Sunday;Eat  like  a  Swabian;Books  that  rock
post-14326;16/03/2018;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14283;12/03/2018;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14275;11/03/2018;true;false;false;true;false;true;false;true;true;true;true;false;true;false;false;true;true;false;false;false;false;false;false;false;false;false
post-14222;01/03/2018;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13540;27/02/2018;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14179;22/02/2018;true;false;true;false;false;false;false;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-14126;20/02/2018;true;true;false;false;false;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14154;18/02/2018;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14121;16/02/2018;true;false;false;false;false;false;false;true;true;true;true;false;false;false;false;false;true;false;true;false;false;false;false;false;false;false
post-14106;14/02/2018;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14095;12/02/2018;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-14081;11/02/2018;true;false;true;false;false;false;false;false;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-14073;08/02/2018;true;false;false;false;false;true;false;true;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false
post-14063;06/02/2018;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14057;04/02/2018;true;false;true;false;true;false;false;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14039;01/02/2018;true;false;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-14025;27/01/2018;true;true;true;false;false;false;false;false;false;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
post-14007;20/12/2017;true;false;true;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13998;15/12/2017;true;false;true;false;false;false;false;false;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13992;12/12/2017;true;false;true;false;false;false;false;false;false;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13980;06/12/2017;true;false;false;false;false;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13956;30/11/2017;true;true;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13966;29/11/2017;false;false;false;false;false;false;true;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13949;25/11/2017;true;false;true;false;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13941;17/11/2017;true;true;true;false;true;false;false;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13900;09/11/2017;true;false;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13785;29/10/2017;true;false;true;false;false;false;false;false;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13775;26/10/2017;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false
post-13736;22/10/2017;true;false;false;false;true;false;false;false;false;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13656;17/10/2017;true;false;true;false;false;false;false;false;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13653;14/10/2017;true;false;true;false;true;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13612;26/09/2017;true;false;false;false;true;false;false;true;true;true;true;false;false;true;false;false;true;false;false;false;false;false;false;false;false;false
post-13636;23/09/2017;true;false;false;true;false;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13575;19/09/2017;true;false;false;true;false;true;false;true;true;true;false;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13592;15/09/2017;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13550;15/08/2017;true;false;true;false;true;false;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13532;31/07/2017;true;false;true;false;false;false;false;false;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13448;21/07/2017;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13508;19/07/2017;true;true;true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13512;17/07/2017;true;false;true;false;false;false;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13489;29/06/2017;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13480;21/06/2017;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13427;16/06/2017;true;true;true;false;false;false;false;false;true;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13458;13/06/2017;true;false;true;false;false;false;false;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13418;02/06/2017;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13410;01/06/2017;true;false;false;false;true;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13384;26/05/2017;true;false;true;false;true;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13372;18/05/2017;true;false;false;false;true;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13364;16/05/2017;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false
post-13285;09/05/2017;true;false;false;true;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false
post-13263;07/05/2017;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;true;false;false;false;false;true;false;false
post-13270;04/05/2017;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;true;false
post-13239;27/04/2017;true;false;false;true;false;false;false;true;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false
post-13228;25/04/2017;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;true;true;false;false;false;false;false;false;false;false;false
post-13210;21/04/2017;true;true;false;false;true;false;false;true;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false
post-13202;19/04/2017;true;false;false;true;false;true;false;true;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false
post-13182;13/04/2017;true;false;true;false;true;false;false;true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-13176;11/04/2017;true;false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13159;09/04/2017;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-13145;06/04/2017;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;true;true;false;false;false;false;false;false;false;false;false
post-13126;04/04/2017;true;false;true;false;false;false;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-13117;02/04/2017;true;false;false;false;true;false;false;true;true;true;true;false;false;true;false;false;false;false;true;false;false;false;false;true;false;false
post-13106;30/03/2017;true;true;true;false;false;false;false;false;false;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
post-13101;28/03/2017;true;false;true;false;false;false;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
